AWKIKAY MIKUYTA KAMACHICHISHKA TANTACHIK KAMACHIY I KAPAKNIKI Hatun kallarikuna	LEY ORGÁNICA DEL RÉGIMEN DE LA SOBERANÍA ALIMENTARIA TÍTULO I PRINCIPIOS GENERALES	0.6
Mamallaktaka uchilla, malta tantanakuykunapi tantarishkapukuchikpak tarpuywaylla kapukkamay wasikunata mirachinka.	El Estado fomentará las agroindustrias de los pequeños y medianos productores organizados en forma asociativa.	1.46907
<p>	<p>	0
16 niki.	Artículo 16.	1.15
Chalwa, yaku wiwakuna kapukyaypash.	Producción pesquera y acuícola.	0.258621
	El Estado fomentará la producción pesquera y acuícola sustentable, y establecerá las normas de protección de los ecosistemas.	-0.3
Mamallaktaka chalwa pukukta, yaku wiwakuna pukuktapash charirayanata mirachinka, patachinka; pachamama llika ukllana uchilla kamachikunata churanka.Shinallatak yankamanta allpata hapishkakunata, lluchunkakamay hapishka allpata kutintak Mamallaktaman tikrachinka.	Las tierras ilegalmente ocupadas y explotadas por personas naturales o jurídicas, camaroneras y acuícolas, serán revertidas al Estado de no solicitarse su regularización en el plazo de un año, de conformidad con las normas vigentes en la materia, con el fin de garantizar procesos de repoblamiento y recuperación del manglar.	0.73375
Shina lunchik chinkarishkata tarichun, kutintak wiñarichun, shinami kamachiy nishkata mirachinka.	Serán revertidas al Estado las zonas ocupadas en áreas protegidas, sin que éstas puedan regularizarse.	0.845455
Mamallaktaka makiwanlla chalwatahapikkunata, tantarishka muyuta pallakkunata ukllanka, shina mamakuchapi, mayupi,chalwakunata, yurakunatapash, lunchikta hapishpa wiñachikta ukllanka.	El Estado protegerá a los pescadores artesanales y recolectores comunitarios y estimulará la adopción de prácticas sustentables de reproducción en cautiverio de las especies de mar, río y manglar.	0.4875
Kay pachamamapi tiyak chukchukuk, tukurikuk yurakunata, wiwakunata hapishpa kapukkamachik wasikunata rurachun mana sakinachu.	Se prohíbe la explotación industrial de estas especies en ecosistemas sensibles y protegidos.	0.397213
<p>	<p>	0
17 niki.	Artículo 17.	1.15
Kapukyachik Kamachiyta mirachi.	Leyes de fomento a la producción.	0.289655
Tarpuy pukuymanta shamuk mikunakunata mirachina, shinallatak tarpuy wiñariynata, wiwa wiñariynata, tarpuy kapukkamayta, tarpuypi llankayta rikuchun kamachiyta mirachina. ~~~ Tantarishka iñu llankaywasiyukta, uchilla llankay wasita, uchilla, malta pukuchikkunata, llakta ukupi manu kullki kamachishkata mirachina. ~~~ Tarpuy mikunaman chayak kullkichik llikata mirachina, kamaywasimanta ruraykunata, shuktak mutsurikkunata paktankapañankunata churarkakuna.	Con la finalidad de fomentar la producción agroalimentaria, las leyes que regulen el desarrollo agropecuario, la agroindustria, el empleo agrícola, las formas asociativas de los microempresarios, microempresa o micro, pequeños y medianos productores, el régimen tributario interno y el sistema financiero destinado al fomento agroalimentario, establecerán los mecanismos institucionales, operativos y otros necesarios para alcanzar este fin.	0.0843651
Wakaychimushka hutun kuskakuna pampakunaka Mamallaktaman tikrachishkami kanka, kaykakunaka mana patachishkachu kanka.		-0.3
Mamallaktaka allita rurashka llankayñanta, tarpunapi kana llaktaytapash kamanka, shinallatak Mamallakta Wiñariy Paktayyuyaywankimirik saywashka allpapak kamachiyta kamanka. ~~~ Kaykunatakapakllapi kawsak runakunapak kullkita wakaychishpa, ruraypak pakta kachun, tarpuy mikunata patachinkapa achiklla uchilla kamachiykunata chutashpa kamana.Pakllamanta runakunapak kullkita wakaychishpa yura tarpuykuna pakta pakta kachun kamanka, llankay hayñikuna, pachamama llikata wakaychik kachun kamana.	El Estado garantizará una planificación detallada y participativa de la política agraria y del ordenamiento territorial de acuerdo al Plan Nacional de Desarrollo, preservando las economías campesinas, estableciendo normas claras y justas respecto a la operación y del control de la agroindustria y de sus plantaciones para garantizar equilibrios frente a las economías campesinas, y respeto de los derechos laborales y la preservación de los ecosistemas.	0.216741
II wankuriy Yuyachi mamakullkiman yaykuri	CAPÍTULO II ACCESO AL CAPITAL E INCENTIVOS	1.29189
<p>	<p>	0
18 niki.	Artículo 18.	1.15
Mamakullki.	Capital.	0.2
Mikunata charik kapukyachik llankay ñawita wiñachinkapaka, Mamallaktami kay hatun kuskata sinchiyachinkapa kullkichik larkata wiñachinka, kayka kullkitupu sami yuyayta, kapukyayta, mintalayta tantanka.	Para desarrollar actividades productivas de carácter alimentario, el Estado impulsará la creación de fuentes de financiamiento en condiciones preferenciales para el sector, incentivos de tipo fiscal, productivo y comercial, así como fondos de garantía, fondos de re-descuento y sistemas de seguros, entre otras medidas.	0.416134
Shinallatak kawsay kamay kullkita wiñachinka, kutintak ashayachik kawsaykamay llikata, shuktak tupukunatapash churanka.	Los microempresarios, microempresa o micro, pequeños y medianos productores tendrán acceso preferente y diferenciado a estos mecanismos, de conformidad con el Art.	0.66796
Iñu llankaywasiyuk, uchilla llankay wasita, uchilla, malta pukuchikkunata kallaripi kachun, chikanyachishkata charinka, kayka Mamakamachiypak 311 nikipi nishkawanmi yaykunata charinka.	311 de la Constitución de la República.	3.25147
<p>	<p>	0
19 niki.	Artículo 19.	1.15
Tarpuy mikuy kawsaykamay.	Seguro agroalimentario.	0.286957
Chaypak kamaywasi, wiñariypak Tukuylla kullkawasiwan chaypikay willaywan, kullkichik hatunkuskawan, runakuna yanapaywan tarpuy mikuy llikawan mirachinka.Pachamama wakllirishkamanta, yunka allpa chakirishkamanta, kurukuna, chirikunuk kapukchita, tarpuyta, wiwayta llakichishkata allichinkapa kullkita mañachinata mirachinka; katuna pampapi kapukkuna ashayakpi uchilla, paktalla kapukchikkunaman kullki yanapayta mirachina.	El Ministerio del ramo, con la participación y promoción de la banca pública de desarrollo y el sector financiero, popular y solidario, implementarán un sistema de seguro agroalimentario para cubrir la producción y los créditos agropecuarios afectados por desastres naturales, antrópicos, plagas, siniestros climáticos y riesgos del mercado, con énfasis en el pequeño y mediano productor.	0.55509
<p>	<p>	0
20 niki.	Artículo 20.	1.15
Tarpuy mikuypak yanapay.	Subsidio agroalimentario.	0.273913
Alli pukushka murukuna katuna rantina pampapi mana alli chanipi katurikpi, chani urayakpika, mikunakuna illakchayakpika Mamallaktami chani ama urayachun kullkita karanka. ~~~ Kaytaka iñu llankaywasiyukman, iñu llankaywasiman, uchilla, paktalla llakirishka kapukchikkunata akllashpami kullki yanayta paykunaman ashtawan mirachinka.	En el caso de que la producción eficiente no genere rentabilidad por distorsiones del mercado debidamente comprobadas o se requiera incentivar la producción deficitaria de alimentos, el Estado implementará mecanismos de mitigación incluyendo subsidios oportunos y adecuados, priorizando a los microempresarios, microempresa o micro, pequeños y medianos productores afectados.	0.126077
III wankuriy Tarpuy mikuyta mintalay, huntachinapash	CAPÍTULO III COMERCIALIZACIÓN Y ABASTECIMIENTO AGROALIMENTARIO	1.09464
<p>	<p>	0
21 niki.	Artículo 21.	1.15
Llakta ukupi mintalaykuna.	Comercialización interna.	0.3
- Mamallaktaka mikuna awkiyaypak Mintalana Hatun Llikata wiñachinka, kapukyachikkunapak makimanta mikukkunapak shimiman chayachun shuk ñanta churanka; chay paktachunka shinallatak allita, mana wakayashka mintalana ñankunata rurachun yuyachinka.	El Estado creará el Sistema Nacional de Comercialización para la soberanía alimentaria y establecerá mecanismos de apoyo a la negociación directa entre productores y consumidores, e incentivará la eficiencia y racionalización de las cadenas y canales de comercialización.	0.72399
Ashtawankarin, mikuna murukunata pallashka kipaimashina allita wakaychichun, mintalachunpash rikunka. ~~~ Shinallatak iñu llankaywasiyukkuna, uchilla llankaywasikuna, uchilla, paktalla mikuna kapukchikkunata tantachichun mirachinka, shina paykunapak murukunata, churashka mana alli chaniwan mintalayta ukllankapa ñanta churanka; kaytakahatun mintalaykunawan rikuna, kapukkamaywan rikuna, kullki yuyarishkakunawan kullkimanuyta, ima mitapi kullkita kunata chimpapurashpa rikunka.	Además, procurará el mejoramiento de la conservación de los productos alimentarios en los procesos de post-cosecha y de comercialización; y, fomentará mecanismos asociativos de los microempresarios, microempresa o micro, pequeños y medianos productores de alimentos, para protegerlos de la imposición de condiciones desfavorables en la comercialización de sus productos, respecto de las grandes cadenas de comercialización e industrialización, y controlará el cumplimiento de las condiciones contractuales y los plazos de pago.	0.31161
Kikinllatak karupi kamachikkuna kapukkunata rantinchinkapa, mintalankapa alli wasikunawan, alli hillaykunawan murukunata pukuchikkunaman yanapanka.	Los gobiernos autónomos descentralizados proveerán de la infraestructura necesaria para el intercambio y comercialización directa entre pequeños productores y consumidores, en beneficio de ambos, como una nueva relación de economía social y solidaria.	0.543277
Paykunaka kapukyachikkunapak makimanta, mikukkunapak shimiman chayachuntakmi yanapanka, shinami paypura yanaparinka; kay llankay runakuna kullkiwan yanaparishpa mushuk kimirimi kanka. ~~~ Chaypak churashka kamachiyka iñu llankaywasiyukkuna, uchilla llankaywasikuna, uchilla, paktallakapukchikkuna, mikukkunapash chanita yanantin patachinkapa ñankunata churanka.	La ley correspondiente establecerá los mecanismos para la regulación de precios en los que participarán los microempresarios, microempresa o micro, pequeños y medianos productores y los consumidores de manera paritaria, y para evitar y sancionar la competencia desleal, las prácticas monopólicas, oligopólicas, monopsónicas y especulativas.	0.221186
Shinashpa maypipash kachun mishanakuyta, ashallakuna kapukunata charikpi, ashalla tantarishpa charik tukukpi,paykunallatak rantishpa shuwakpianchuchina, wanachina kachun kamachiyta churanka.		-0.3
Mamallaktaka mikuna kapukkunata pallashkakatikuy kipa allita wakaychinkapa, mintalankapapash allichirichun ñakarinka.	El Estado procurará el mejoramiento de la conservación de los productos alimentarios en los procesos de post-cosecha y de comercialización.	0.812427
Chaypak churashka kamachiykamaypipash kachun mishanakuy, ashallakuna kapukkunata charik, shuwaykuna ama tiyachun anchuchina, wanachina ñankunatami churanka.	La ley correspondiente establecerá los mecanismos para evitar y sancionar la competencia desleal, así como las prácticas monopólicas y especulativas.	0.835019
<p>	<p>	0
22 niki.	Artículo 22.	1.15
Llakta ukupi huntachi.	Abastecimiento interno.	0.271429
Mamallaktaka sumakta rurakkunapak tantanakuywan, kapuchikkunata, mikukkunata tapushpa mutsurik tiksi mikunakunata wakaychinka, alli mikunakunata watanta churanka; shinami Mamallaktallatak pukuchishpa, kikin llaktapi mikuna tiyachun, kanchamanta mana rantina kachun achka alli mikunata churanka.	El Estado a través de los organismos técnicos especializados, en consulta con los productores y consumidores determinará anualmente las necesidades de alimentos básicos y estratégicos para el consumo interno que el país está en condiciones de producir y que no requieren de importaciones.	1.14789
<p>	<p>	0
23 niki.	Artículo 23.	1.15
Istaman mintalay.	Comercialización externa.	0.158824
Tarpuy wiway llaktaypak, ista mintalaypak minkashka Kamaywasikunami mikunata apamuna, kachanata charichun ñankunata churanka; mikunata kamarinatapash paktachinka, shinallatak imashina paktachina ñankunata, manuchikunata churanka. ~~~ Kaykunaka kikinllatak mikuna awkikayta mana llakichinkachu.	Los Ministerios a cargo de las políticas agropecuarias y de comercio exterior establecerán los mecanismos y condiciones que cumplirán las importaciones, exportaciones y donaciones de alimentos, las cuales no atentarán contra la soberanía alimentaria.	0.319628
Ashtawanpash, llakta ukupi katunata ukllachun yuyachishpa kamachiykullki llaktayta churankakuna, istallaktapi tiyak kapukkuna, kay llaktapipash tiyakpika shuktak llaktamanta mana rantinachu, may alli mikuna mana kakpipash mana rantinachu. ~~~ Kamachiypi mana churashka mikuna kakpi, mikuna rurana tatkita mana charikpipash kay llaktaman mana yaykuchinachu.	Además, el Presidente de la República establecerá la política arancelaria que se orientará a la protección del mercado interno, procurando eliminar la importación de alimentos de producción nacional y prohibiendo el ingreso de alimentos que no cumplan con las normas de calidad, producción y procesamiento establecidas en la legislación nacional.	0.379828
IV wankuriy Allikawsay, tarpuymanta mikuypash	CAPÍTULO IV SANIDAD E INOCUIDAD ALIMENTARIA	1.27692
<p>	<p>	0
24 niki.	Artículo 24.	1.15
Allikawsayman yuyay.	Finalidad de la sanidad.	0.27
Allikawsay, tarpuymanta mikuna kamayka chakrushka alli mikunata ñawpachinaman, mirachinaman paktana yuyaytami charin, runakunapak allikawsayta ukllanatapashmi charin; shinallatak ancha unkushka mikunakunata mikukpi ancha unkuykuna runakunata ama hapichun harkana, anchuchina, ashayachinatapash charinmi.	La sanidad e inocuidad alimentarias tienen por objeto promover una adecuada nutrición y protección de la salud de las personas; y prevenir, eliminar o reducir la incidencia de enfermedades que se puedan causar o agravar por el consumo de alimentos contaminados.	0.712249
<p>	<p>	0
25 niki.	Artículo 25.	1.15
Wiwapak, yurapak allikawsay.	Sanidad animal y vegetal.	0.247826
Mamallaktaka wiwakunapak, yurakunapak unkuykunaama yaykurichunmi harkanka, chapankapash. ~~~ Shinallatak tarpuywan pukuchinkapa, kapukamachinkapa, wakaychinkapa, mintalankaparurayta rikunka; chayka sumak llankay paktachun, minkachun purichinka.	El Estado prevendrá y controlará la introducción y ocurrencia de enfermedades de animales y vegetales; asimismo promoverá prácticas y tecnologías de producción, industrialización, conservación y comercialización que permitan alcanzar y afianzar la inocuidad de los productos.	-0.0113839
Chaypakka, Mamallaktami wiwakunapak, chakrakunapak unkuyta sapimanta pichana hatun willayta charinka, pachamamawan mashiyak wiwakunapak hampita, yurakunapak hampita mirachishpa charinka.	Para lo cual, el Estado mantendrá campañas de erradicación de plagas y enfermedades en animales y cultivos, fomentando el uso de productos veterinarios y fitosanitarios amigables con el medio ambiente.	0.452601
Runakuna mikuna wiwakunaka kutintak mirachishka, karashka, wiñachishka, yallichishka, allikawsayta charik kanka, chuyalla kuskapi wañuchishkami kanka, shinami mana unkuyyuk aycha kanka.	Los animales que se destinen a la alimentación humana serán reproducidos, alimentados, criados, transportados y faenados en condiciones que preserven su bienestar y la sanidad del alimento.	0.580226
<p>	<p>	0
26 niki.	Artículo 26.	1.15
Tawkasami sumak rurayta, paypak kapukunapash.	Regulación de la biotecnología y sus productos.	0.3
Ecuador llaktataka yanka muyuta tarpunamanta, wakllichishka muyumanta kishpiyrishka kachunmi willarin.	Se declara al Ecuador libre de cultivos y semillas transgénicas.	0.369156
Mamallakta pushak arinishkawan, Mamallakta Tantanakuy arinishkawan, Mamallakta wakinpi anchata mutsukpillami allita rikushpa wakllichishka muyukunataka kay llaktaman yaykuchina kanka.	Excepcionalmente y solo en caso de interés nacional debidamente fundamentado por la Presidencia de la República y aprobado por la Asamblea Nacional, se podrá introducir semillas y cultivos genéticamente modificados.	0.579861
Mamallaktaka kawsaykamay uchilla kichkichik kamachiywanmi patachinka, shinami mushuk kawsay sumakrurayta mawkayachinata, mushuk muyuta tarpunka, mashkayyachaytapash kallarinka; muyukunata mawkayachinata, mintalaytapash kallarinka.	El Estado regulará bajo estrictas normas de bioseguridad, el uso y el desarrollo de la biotecnología moderna y sus productos, así como su experimentación, uso y comercialización.	0.470028
Yachaymashkayta charinata munashpa wakllichik kawsay sumakrurayta rurachun mana sakinachu.	Se prohíbe la aplicación de biotecnologías riesgosas o experimentales.	0.804762
Wakllichik muyumanta wacharishka tiyakkunaka chuyalla kakkuna, tarpuymanta kakkunatami apamushka kanka, rurarishka kana ushankakuna. ~~~ Chay muyukunaka mana ushayta charik, pakishka, mikunkapalla allimi kanka; allita rikuna kallarita sumaychashka, shinaka runapak allikawsayta, mikuna awkikayta, pachamama llikatapash mana llakichinkachu.	Las materias primas que contengan insumos de origen transgénico únicamente podrán ser importadas y procesadas, siempre y cuando cumplan con los requisitos de sanidad e inocuidad, y que su capacidad de reproducción sea inhabilitada, respetando el principio de precaución, de modo que no atenten contra la salud humana, la soberanía alimentaria y los ecosistemas.	0.104676
Waklliriklla tiksiwan pakishka kapukkunaka killkawan shutichishkami kanka, imashinami Kamachiy nishkata katishpa mikukta ama unkuy hapichun, unkuyta harkakwan patachishkami kanka.	Los productos elaborados en base a transgénicos serán etiquetados de acuerdo a la ley que regula la defensa del consumidor.	0.287143
Kamachiyka, tarpuy tawkasami kawsayta, kawsay sumakrurayta, kapukkunata mawkayachita, mintalayta patachichun; shinallatak wiwakunaman, yurakunaman alli kawsaymi mikuna awkikayta churanka, pachamamapak hayñita sumaychaychik hillaykunata kamana, uksi mikunatapash kamachun, shina iñu llankaywasiyukkunata, uchilla llankaywasikunata, uchilla, paktalla kapukchikkunatapash chikanyachishka allita yanapayta churashka kanka.	Las leyes que regulen la agrobiodiversidad, la biotecnología y el uso y comercialización de sus productos, así como las de sanidad animal y vegetal establecerán los mecanismos de sanidad alimentaria y los instrumentos que garanticen el respeto a los derechos de la naturaleza y la producción de alimentos inocuos, estableciendo un tratamiento diferenciado a favor de los microempresarios, microempresa o micro, pequeños y medianos productores.	1.27421
IV kapakniki Puchukay, allimikuypash	TÍTULO IV CONSUMO Y NUTRICIÓN	0.807692
<p>	<p>	0
27 niki.	Artículo 27.	1.15
Allimikuykunata mikuchun yuyachi.	Incentivo al consumo de alimentos nutritivos.	0.965625
Zalayaykunata, mana alli mikuykunata ashayachinkapakmi Mamallaktaka wanuwan tarpushkamanta shamuk alli mikuykunata mikuchun yuyachinka, kay mikuykunata katuchunpash, willaykachachunpash yanapanka, uksi alli mikunata mikuchun yachachina. ~~~ Imashina mikuna kakta riksina, ima mikuytalla charikta riksina kachun, alli mikuyta charinkapa tukuylla llaktaymanta kimirinakuna.	Con el fin de disminuir y erradicar la desnutrición y malnutrición, el Estado incentivará el consumo de alimentos nutritivos preferentemente de origen agroecológico y orgánico, mediante el apoyo a su comercialización, la realización de programas de promoción y educación nutricional para el consumo sano, la identificación y el etiquetado de los contenidos nutricionales de los alimentos, y la coordinación de las políticas públicas.	0.327965
<p>	<p>	0
28 niki.	Artículo 28.	1.15
May alli mikuy.	Calidad nutricional.	0.171429
Ashalla allimikuy chanita charik kapukkunata yachanawasikunapi katuchunka mana sakinachu. ~~~ Kallaripi yanapana runakunaman mana alli mikunakunata karachun, mana alli mikunata rakichunpash mana sakinachu.	Se prohíbe la comercialización de productos con bajo valor nutricional en los establecimientos educativos, así como la distribución y uso de éstos en programas de alimentación dirigidos a grupos de atención prioritaria.	0.402214
Mamallaktaka tiksiyachana yachaykunapi allimikunawan kimirik yuyaykunata yachachun yaykuchinka, shina chakrushka uksi may allimikuyta charik mikunakunata mikuchun mirachina.	El Estado incorporará en los programas de estudios de educación básica contenidos relacionados con la calidad nutricional, para fomentar el consumo equilibrado de alimentos sanos y nutritivos.	0.782911
Allikawsayta, yachayta, mikukkunata kamakta kamachiychishka kamachiyta patachinka, may alli llikata churankapa mutsurik ñankunata tiyachinka, churanka; may allitapash illunka, alli mikuyta mikuna yachaykunatapash churanka; mana alli mikunata mana mikuna willaytapash ankikunapi, willakpankapi, karurikuchikpi tukuy llaktaman willaykachanka.	Las leyes que regulan el régimen de salud, la educación, la defensa del consumidor y el sistema de la calidad, establecerán los mecanismos necesarios para promover, determinar y certificar la calidad y el contenido nutricional de los alimentos, así como también para restringir la promoción de alimentos de baja calidad, a través de los medios de comunicación.	1.38137
<p>	<p>	0
29 niki.	Artículo 29.	1.15
Llaki tiyakpi mikunamanta.	Alimentación en caso de emergencias.	0.204
Llaktakunapi pachamama wakllirishkamanta, yunka allpa chiktarishkamanta llakikuna alli mikunaman mana yaykuchikpika, Mamallaktami chay llaki katikuy pacha llakirishka runakunaman, llaktakunaman achka alli mikunata chayachinka. ~~~ Chay wakllirishka kuskakunata, wasikunata, allpatakunata kutintak allichichunka runakunaman llankayta kushpami yanapana.	En caso de desastres naturales o antrópicos que pongan en riesgo el acceso a la alimentación, el Estado, mientras exista la emergencia, implementará programas de atención emergente para dotar de alimentos suficientes a las poblaciones afectadas, y para reconstruir la infraestructura y recuperar la capacidad productiva, mediante el empleo de la mano de obra de dichas poblaciones.	0.161463
<p>	<p>	0
30 niki.Mikuymanta Mamallaktapak hatun willay.	Artículo 30. ~~~ Promoción del consumo nacional.	-0.00357143
Mamallaktamiiñu llankaywasiyukkunamanta, iñu llankaywasikunamanta, uchilla, paktalla chakramanta pukuchikkunamanta alli mikuna murukunata rantina yuyarikunata yuyachinka, churanka. ~~~ Shina alli mikunata ukllak yachaykunata, kallaripi yanapana runakunaman alli mikunakunawan yanapanka.	El Estado incentivará y establecerá convenios de adquisición de productos alimenticios con los microempresarios, microempresa o micro, pequeños y medianos productores agroalimentarios para atender las necesidades de los programas de protección alimentaria y nutricional dirigidos a poblaciones de atención prioritaria.	0.363462
Ashtawankarin hatun willaykunata, alli mikunata mikuchun yachachinata mirachinka, kallaripika ayllullaktakunapi uksi murukunata imashina punchanta mikunata mirachina.	Además implementará campañas de información y educación a favor del consumo de productos alimenticios nacionales principalmente de aquellos vinculados a las dietas tradicionales de las localidades.	0.787964
V Wankuriy Awkikay mikuypak runakuna chaypikay	TÍTULO V PARTICIPACIÓN SOCIAL PARA LA SOBERANÍA ALIMENTARIA	0.65
<p>	<p>	0
31 niki.	Artículo 31.	1.15
Runakuna chaypikay.	Participación social.	0.268421
Kamachiykunata rurayta mirachina, mikuy awkikaypa tukuylla llaktaykunatapash mirachina; kaypakka maymashna runakuna chaypikachunmi chaskinka.	La elaboración de las leyes y la formulación e implementación de las políticas públicas para la soberanía alimentaria, contarán con la más amplia participación social, a través de procesos de deliberación pública promovidos por el Estado y por la sociedad civil, articulados por el Sistema de Soberanía Alimentaria y Nutricional (SISAN), en los distintos niveles de gobierno.	0.0758242
Mamallakta, runakunapash tukuy ayllullaktakunaman pampachishpa willashpami chayanka, kayka mikuna Awkikay Mikuy Llikawan mukuyachishkami kanka, shinami chikan chikan kamachikkunapak patapi kanka.	DISPOSICIONES GENERALES PRIMERA: La Conferencia Plurinacional e Intercultural de Soberanía Alimentaria contará con el presupuesto necesario para realizar sus actividades, previa aprobación del plan operativo anual conforme a la ley." SEGUNDA: Sustitúyase en el texto de la Ley Orgánica del Régimen de la Soberanía Alimentaria, "Conferencia Nacional de Soberanía Alimentaria", por el siguiente: "Conferencia Plurinacional e Intercultural de Soberanía Alimentaria".	0.0564165
YALLICHINALLA CHURASHKAKUNA Shukniki.	DISPOSICIONES TRANSITORIAS Primera.	0.282353
Mikuna Awkikay HatunTantanakuyman yaykurikrunakunamanta kachashkakunaka, Llaktayuk Chaypikachun Rikurayak Tantanakuy yanapaywan, kay kamachiy Kamachiy Kipukpi killkarishka kipa, manarak 60 puncha paktakpimi shutichishka kanka.	Los representantes de la sociedad civil que integrarán la Conferencia Nacional de Soberanía Alimentaria deberán ser designados en un plazo no mayor de 90 días, a partir de la publicación de esta ley en el Registro Oficial, con el apoyo del Consejo de Participación Ciudadana y Control Social.	0.633052
Ishkayniki.Mikuna Awkikayta Hatun Tantanakuy wallparishkamanta 180 punchakunapi tukuymashna chaypikana wiñarinka, kayka: kamachiyman, patachik kamachiykunaman kimirik mañaykunata rurana yuyaywanmi tukuy mashna tantarishpa atinakunka, shinami: allpata, saywashka allpata mawkayachinkapa, allpaman yaykunkapa mañay yuyaykunata ruranka.		-0.3
Shinallatak: sapsi allpaman, tarpuy tawkasami kawsayman, muyuman, tarpuy wiñariyman, tarpuy kapukkamayman, tarpuypi llankayman, wiwa alli kawsayman, yura allikawsayman yaykunkapa mañayta ruranka; shinallatak paklla runa, kikinrunakuna tukuylla kullkita mañayman, allikawsayta patachiyman, karashka mikuyman yaykuchun ruranka.		-0.3
Kay rurashka mushuk kamachiytaka Utkachikmi shuk wata mana yallipi rimashka kanka, kipaka ña kamachiy tukuchun Mamallakta Llakta Tantanakuyman kachashka kanka.		-0.3
Kimsaniki.	Tercera.	0.233333
Kay Kamachiyta 365 puncha mana yallipi, ña Kamachiy Kipukpi killkarishka kipa, kay kamachiypak, 19 nikipi willashkata paktachishpa, chakramanta mikuna kawsaykamay llikata mirachinka.	En un plazo no mayor de 365 días a partir de la publicación de la presente ley en el Registro Oficial, se implementará el Sistema de Seguro Agroalimentario, mencionado en el Art. 19 de la presente ley.	2.24911
Chuskuniki.	Cuarta.	0.15
Mamakamachiy 180 punchakuna mana wichiman, chakramanta mikuna hatun kuska kutintak shayarichun, chaypak yachayta wiñachinka, kaytaka Mamallakta wiñariy paktay yuyay ukupimi kanka, ashatalla charik runakuna saywashka allpapi kawsakkunapi yuyashkami kanka.	El Estado en un plazo no mayor de 180 días creará un programa especial de reactivación del sector agroalimentario de conformidad al Plan Nacional de Desarrollo, orientado a las jurisdicciones territoriales con menores índices de desarrollo humano.	1.97877
TUKURICHUN CHURASHKAKUNA Shukniki.	Primera.	-0.5
Ayriwa killa, 27 puncha, 2006 watapi, Kamachiy Kipukpi 259 yupaywan willashka Mikuna kawsaykay, Allimikuy kamachiypi tiyak 41 nikikunami picharin, shinallatak kay kamachiywan takarikpash picharinmi.	Deróguese la Ley No. 41 de Seguridad Alimentaria y Nutricional, publicada en el Registro Oficial 259 de 27 de abril de 2006.	0.614047
Ishkayniki.	Segunda.	0.2
Kay kamachiywan takarik tukuy kamachikunami picharin.	Se derogan todas las disposiciones legales que se opongan a esta ley.	0.238776
TUKURIPI NISHKA Kay kamachiyka Kamachiy Kipukpi killkachishpa willashka punchamantami paktayman yaykunka.	DISPOSICIÓN FINAL Esta ley entrará en vigencia el día de su publicación en el Registro Oficial.	0.244444
Mamallakta Tantanakuypak yataka Quito hatunkitipi, Pichincha markapimi kan; chunka puncha, panchi killa, ishkay waranka, iskun watapi, yuyarishpa killkashpa, kushka kanka.	Dado y suscrito en la sede de la Asamblea Nacional, ubicada en el Distrito Metropolitano de Quito, provincia de Pichincha, a los diez y siete días del mes de febrero de dos mil nueve.	0.296026
<p>	<p>	0
		0.3
